column,missing_count,missing_percentage
complaint_id,0,0.0
category,0,0.0
sub_category,0,0.0
grievance_date,0,0.0
ward_name,0,0.0
grievance_status,0,0.0
staff_remarks,0,0.0
staff_name,0,0.0
year,0,0.0
month,0,0.0
month_name,0,0.0
quarter,0,0.0
day_of_week,0,0.0
week,0,0.0
is_closed,0,0.0
is_reopened,0,0.0
is_open,0,0.0
category_complaint_count,0,0.0
ward_complaint_count,0,0.0
ward_category_count,0,0.0
